ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Join_Year,Join_Month,Join_Day,Age
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635.0,81.0,546.0,120.5,81.0,88.0,3,8,10,4,7,0,0,0,0,0,0,3,11,1,2012,9,4,69
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11.0,1.0,6.0,2.0,1.0,6.0,2,1,1,2,5,0,0,0,0,0,0,3,11,0,2014,3,8,72
4141,1965,Graduation,Married,71613.0,0,0,2013-08-21,26,426.0,49.0,127.0,111.0,21.0,42.0,1,8,2,10,4,0,0,0,0,0,0,3,11,0,2013,8,21,61
6182,1984,Graduation,Married,26646.0,1,0,2014-02-10,26,11.0,4.0,20.0,10.0,3.0,5.0,2,2,0,4,6,0,0,0,0,0,0,3,11,0,2014,2,10,42
5324,1981,Phd,Married,58293.0,1,0,2014-01-19,94,173.0,43.0,118.0,46.0,27.0,15.0,5,5,3,6,5,0,0,0,0,0,0,3,11,0,2014,1,19,45
7446,1967,Master,Married,62513.0,0,1,2013-09-09,16,520.0,42.0,98.0,0.0,42.0,14.0,2,6,4,10,6,0,0,0,0,0,0,3,11,0,2013,9,9,59
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235.0,65.0,164.0,50.0,49.0,27.0,4,7,3,7,6,0,0,0,0,0,0,3,11,0,2012,11,13,55
6177,1985,Phd,Married,33454.0,1,0,2013-05-08,32,76.0,10.0,56.0,3.0,1.0,23.0,2,4,0,4,8,0,0,0,0,0,0,3,11,0,2013,5,8,41
4855,1974,Phd,Married,30351.0,1,0,2013-06-06,19,14.0,0.0,24.0,3.0,3.0,2.0,1,3,0,2,9,0,0,0,0,0,0,3,11,1,2013,6,6,52
5899,1950,Phd,Married,5648.0,1,1,2014-03-13,68,28.0,0.0,6.0,1.0,1.0,13.0,1,1,0,0,20,1,0,0,0,0,0,3,11,0,2014,3,13,76
